,a,b,c,d,e,id
1241,1200,300,11.6,1200,900,2
1242,300,0,3.6,300,1800,2
1243,600,300,9.2,600,3900,2
1244,300,0,3.6,300,0,2
1245,300,300,6.4,300,2400,2
1246,300,300,4.8,300,0,2
1247,300,300,4.8,300,1800,2
1248,300,0,6.4,300,900,2
1249,300,0,17.2,300,1200,2
1250,300,300,6,300,20100,2
1251,300,0,57.6,300,0,2
1252,300,0,13.2,300,0,2
1253,300,0,6,300,0,2
1254,600,300,48.8,600,900,2
1255,300,300,40.4,300,0,2
1256,300,300,6,300,600,2
1257,300,300,48.8,300,0,2
1258,300,300,8,300,300,2
1259,300,900,16,300,300,2
1260,300,900,16,300,300,2
1261,300,300,16,300,300,2
1262,300,0,13.2,300,0,2
1263,300,0,18.8,300,0,2
1264,300,300,8,300,600,2
1265,300,300,6.8,300,0,2
1266,300,0,3.6,300,300,2
1267,300,0,5.2,300,0,2
1268,300,300,3.6,300,1500,2
1269,300,0,6.8,300,0,2
1270,300,0,40.8,300,0,2
1271,300,300,34,300,0,2
1272,300,0,4.8,300,300,2
1273,300,300,40.8,300,1800,2
1274,300,300,40.8,300,0,2
1275,300,0,4.8,300,2100,2
1276,300,300,8.4,300,0,2
1277,300,300,48.8,300,300,2
1278,300,300,40.8,300,300,2
1279,300,300,40.8,300,600,2
1280,300,300,8.4,300,300,2
1281,300,300,11.2,300,0,2
1282,300,0,3.6,300,16500,2
1283,300,0,3.6,300,300,2
1284,300,0,3.6,300,0,2
1285,300,0,4.4,300,1200,2
1286,300,300,10.8,300,1200,2
1287,300,0,4.4,300,0,2
1288,300,0,3.6,300,1500,2
1289,300,0,4.4,300,600,2
1290,300,0,3.6,300,0,2
1291,15000,0,10,15000,1200,2
1292,300,0,4,300,0,2
1293,300,300,4,300,1500,2
1294,300,300,4,300,600,2
1295,300,0,4,300,600,2
1296,300,0,54.8,300,0,2
1297,300,300,46.8,300,0,2
1298,300,600,46.8,300,0,2
1299,300,300,12.8,300,300,2
1300,300,300,38.8,300,0,2
1301,300,300,30.8,300,300,2
1302,300,300,38.8,300,1500,2
1303,300,600,44.4,300,600,2
1304,300,300,16.4,300,1200,2
1305,300,0,13.2,300,0,2
1306,300,0,24.4,300,0,2
1307,300,300,37.2,300,3900,2
1308,300,300,44.4,300,300,2
1309,300,300,44.4,300,600,2
1310,300,300,6.8,300,6600,2
1311,300,300,48.8,300,1800,2
1312,300,300,40.8,300,0,2
1313,300,0,50.4,300,4500,2
1314,1200,300,11.6,1200,300,2
1315,300,300,5.2,300,0,2
1316,300,300,8.8,300,0,2
1317,300,300,11.6,300,0,2
1318,300,0,50.4,300,0,2
1319,1800,300,15.2,1800,0,2
1320,600,300,11.6,600,0,2
1321,600,300,8.8,600,1200,2
1322,300,0,5.2,300,0,2
1323,300,0,4.4,300,300,2
1324,300,300,5.2,300,300,2
1325,300,300,5.2,300,600,2
1326,600,300,8,600,0,2
1327,300,300,5.2,300,0,2
1328,300,300,5.2,300,0,2
1329,600,300,12.4,600,5400,2
1330,600,300,8,600,1500,2
1331,600,300,38.4,600,1200,2
1332,300,0,3.62,300,6300,2
1333,300,300,5.6,300,300,2
1334,300,300,3.6,300,2100,2
1335,300,300,7.6,300,0,2
1336,300,300,7.6,300,0,2
1337,300,300,3.6,300,0,2
1338,300,0,3.6,300,0,2
1339,300,300,5.6,300,300,2
1340,300,300,5.6,300,300,2
1341,300,300,5.6,300,0,2
1342,300,300,46.4,300,0,2
1343,2100,300,54.4,2100,300,2
1344,300,900,9.6,300,0,2
1345,300,300,48.4,300,0,2
1346,300,900,41.2,300,0,2
1347,300,300,4.4,300,0,2
1348,1200,300,18,1200,0,2
1349,1200,300,26.8,1200,0,2
1350,300,300,4.4,300,0,2
1351,300,300,6,300,600,2
1352,600,300,8,600,0,2
1353,600,1200,10.4,600,0,2
1354,600,300,8,600,0,2
1355,600,600,5.6,600,0,2
1356,300,300,3.6,300,0,2
1357,300,300,4.8,300,0,2
1358,300,0,3.6,300,0,2
1359,300,300,3.6,300,300,2
1360,300,300,4.8,300,0,2
1361,300,0,3.6,300,300,2
1362,300,0,3.6,300,900,2
1363,300,300,4.4,300,300,2
1364,600,300,5.2,600,600,2
1365,300,300,3.6,300,300,2
1366,600,300,5.2,600,0,2
1367,600,600,5.2,600,0,2
1368,600,300,8,600,300,2
1369,300,0,5.2,300,0,2
1370,300,300,12,300,300,2
1371,300,0,8,300,300,2
1372,300,300,91.6,300,0,2
1373,600,600,19.6,600,0,2
1374,600,600,25.6,600,300,2
1375,600,300,19.6,600,0,2
1376,1800,600,25.6,1800,0,2
1377,300,900,12.8,300,900,2
1378,300,0,3.6,300,0,2
1379,900,600,12.8,900,0,2
1380,300,300,8.4,300,3900,2
1381,300,300,6,300,10200,2
1382,300,300,6.4,300,6600,2
1383,300,0,3.8,300,600,2
1384,300,0,4,300,0,2
1385,300,0,4,300,600,2
1386,300,0,5.6,300,3900,2
1387,300,300,8.8,300,0,2
1388,600,300,8.8,600,0,2
1389,600,300,6.8,600,0,2
1390,300,300,5.6,300,0,2
1391,300,300,8,300,1500,2
1392,300,300,4,300,0,2
1393,300,300,4,300,0,2
1394,300,0,3.6,300,600,2
1395,300,300,4.8,300,1500,2
1396,300,300,4.8,300,0,2
1397,300,300,4,300,3000,2
1398,600,300,8,600,0,2
1399,300,0,3.6,300,300,2
1400,300,0,3.6,300,300,2
1401,300,0,4,300,300,2
1402,900,900,4,900,0,2
1403,300,300,4,300,0,2
1404,300,0,4,300,0,2
1405,300,0,42,300,300,2
1406,300,600,42,300,0,2
1407,300,600,42,300,300,2
1408,300,900,59.2,300,300,2
1409,300,600,59.2,300,1800,2
1410,300,300,40.8,300,5400,2
1411,300,600,40.8,300,0,2
1412,300,600,34,300,300,2
1413,300,300,11.2,300,300,2
1414,600,600,14.8,600,0,2
1415,300,300,14.8,300,0,2
1416,300,900,18,300,0,2
1417,300,300,6.8,300,0,2
1418,300,300,6.8,300,0,2
1419,300,300,8.4,300,300,2
1420,300,300,21.6,300,0,2
1421,900,300,22.4,900,0,2
1422,300,300,8,300,0,2
1423,300,0,8,300,0,2
1424,600,600,3.6,600,2400,2
1425,300,300,4.8,300,0,2
1426,300,0,3.6,300,0,2
1427,600,600,4.8,600,0,2
1428,300,0,3.6,300,1500,2
1429,300,0,4.8,300,0,2
1430,300,300,4.8,300,300,2
1431,300,0,4.4,300,1500,2
1432,900,300,5.6,900,0,2
1433,300,0,4.4,300,2700,2
1434,300,0,4.6,300,600,2
1435,300,300,5.6,300,900,2
1436,300,0,4.8,300,900,2
1437,300,0,5.6,300,0,2
1438,600,300,6,600,1500,2
1439,300,0,3.6,300,0,2
1440,300,0,5.2,300,0,2
1441,600,300,5.2,600,0,2
1442,600,300,3.6,600,0,2
1443,300,0,3.6,300,1200,2
1444,300,0,3.6,300,300,2
1445,300,0,5.2,300,0,2
1446,300,900,10.4,300,0,2
1447,300,300,37.2,300,0,2
1448,600,900,13.6,600,300,2
1449,300,300,48.4,300,10800,2
1450,300,300,40,300,0,2
1451,300,600,40,300,300,2
1452,600,300,40,600,1200,2
1453,600,300,32.8,600,1500,2
1454,300,300,41.2,300,2700,2
1455,600,300,49.6,600,1800,2
1456,600,300,41.2,600,1500,2
1457,600,300,58.4,600,900,2
1458,300,600,54,300,1200,2
1459,300,600,38,300,600,2
1460,600,600,45.6,600,1200,2
1461,300,900,30.4,300,0,2
1462,600,300,8.4,600,300,2
1463,300,300,8.4,300,0,2
1464,300,300,12.8,300,0,2
1465,300,300,24.4,300,0,2
1466,1200,300,10,1200,0,2
1467,300,300,24.4,300,0,2
1468,600,300,18,600,0,2
1469,300,300,9.6,300,0,2
1470,600,300,8,600,0,2
1471,1200,0,14.8,1200,600,2
1472,300,300,14.8,300,0,2
1473,300,300,14.8,300,0,2
1474,600,600,18,600,0,2
1475,300,0,12,300,300,2
1476,600,300,6.4,600,0,2
1477,300,0,4.8,300,2400,2
1478,300,300,7.2,300,0,2
1479,300,0,3.6,300,5700,2
1480,900,300,5.6,900,1800,2
1481,300,0,3.6,300,3000,2
1482,300,0,4,300,3900,2
1483,300,0,7.2,300,2400,2
1484,600,300,7.2,600,300,2
1485,300,0,5.6,300,0,2
1486,300,300,9.2,300,0,2
1487,900,300,5.6,900,0,2
1488,300,0,4.8,300,0,2
1489,300,300,7.2,300,300,2
1490,300,300,40.8,300,0,2
1491,300,300,40.8,300,300,2
1492,300,300,15.2,300,0,2
1493,300,300,48,300,300,2
1494,300,300,40.8,300,0,2
1495,300,600,48,300,2400,2
1496,600,300,40.8,600,600,2
1497,300,300,4,300,0,2
1498,300,300,4,300,0,2
1499,300,300,22,300,0,2
1500,600,300,41.2,600,6300,2
1501,300,300,41.2,300,300,2
1502,300,300,6.8,300,1200,2
1503,300,300,4.8,300,600,2
1504,300,300,8.8,300,0,2
1505,300,300,49.6,300,600,2
1506,300,300,58.4,300,0,2
1507,300,300,49.6,300,0,2
1508,600,300,48,600,0,2
1509,600,300,48,600,600,2
1510,300,300,48,300,300,2
1511,600,300,34,600,1200,2
1512,1800,300,18.4,1800,0,2
1513,300,300,11.6,300,0,2
1514,600,300,18.4,600,0,2
1515,300,300,11.6,300,600,2
1516,300,300,18.4,300,0,2
1517,600,300,16,600,0,2
1518,300,300,5.6,300,600,2
1519,300,300,13.2,300,0,2
1520,300,900,16,300,0,2
1521,300,0,16,300,0,2
1522,300,300,13.2,300,0,2
1523,900,300,16,900,0,2
1524,300,300,13.2,300,0,2
1525,1200,600,13.2,1200,0,2
1526,600,300,7.2,600,0,2
1527,300,0,7.2,300,0,2
1528,300,0,5.6,300,0,2
1529,300,0,4,300,1500,2
1530,900,300,4.8,900,300,2
1531,300,0,4,300,3300,2
1532,300,0,4.4,300,2400,2
1533,300,0,3.6,300,0,2
1534,300,0,3.6,300,0,2
1535,300,0,4.4,300,6900,2
1536,300,0,4.4,300,0,2
1537,300,0,7.2,300,0,2
1538,300,300,5.6,300,0,2
1539,300,0,4,300,0,2
1540,300,900,6.8,300,0,2
1541,900,300,8.4,900,1500,2
1542,300,300,7.2,300,0,2
1543,600,300,28.8,600,900,2
1544,300,300,51.6,300,0,2
1545,300,300,44,300,0,2
1546,600,0,51.6,600,1200,2
1547,300,0,51.6,300,0,2
1548,300,300,44,300,4200,2
1549,300,300,44,300,0,2
1550,300,300,54.8,300,2100,2
1551,300,600,46.4,300,300,2
1552,300,300,5.6,300,5400,2
1553,300,0,3.6,300,1200,2
1554,300,300,54.8,300,300,2
1555,300,300,46.4,300,0,2
1556,300,300,44,300,300,2
1557,300,600,51.6,300,600,2
1558,300,300,51.6,300,300,2
1559,300,600,44,300,900,2
1560,600,300,36.4,600,300,2
1561,1200,300,7.2,1200,0,2
1562,1200,300,15.61,1200,300,2
1563,300,300,7.6,300,0,2
1564,300,300,20,300,0,2
1565,300,300,18.4,300,0,2
1566,600,300,15.2,600,0,2
1567,300,300,9.6,300,0,2
1568,600,300,8,600,3900,2
1569,300,300,4.8,300,600,2
1570,300,300,8,300,300,2
1571,300,300,6.4,300,300,2
1572,300,0,4.4,300,0,2
1573,300,300,4.4,300,300,2
1574,300,0,4.4,300,300,2
1575,300,0,3.6,300,300,2
1576,300,0,3.6,300,8400,2
1577,300,300,17.6,300,14700,2
1578,600,600,49.2,600,2700,2
1579,300,600,49.2,300,2400,2
1580,300,600,58,300,1800,2
1581,300,600,49.2,300,3600,2
1582,300,0,32.4,300,2100,2
1583,300,600,56.4,300,10200,2
1584,300,300,40,300,300,2
1585,300,300,48.4,300,0,2
1586,300,900,40,300,0,2
1587,600,600,47.6,600,1500,2
1588,300,900,47.6,300,0,2
1589,600,300,33.6,600,600,2
1590,600,900,18,600,300,2
1591,900,900,8.8,900,0,2
1592,300,0,3.6,300,0,2
1593,300,300,6.8,300,0,2
1594,300,300,6.8,300,0,2
1595,300,900,26.8,300,300,2
1596,600,300,15.6,600,0,2
1597,300,0,4,300,0,2
1598,600,300,15.6,600,0,2
1599,600,300,10.8,600,300,2
1600,1200,300,28.8,1200,600,2
1601,300,300,8.305,300,0,2
1602,300,0,6.2,300,300,2
1603,300,900,28.6,300,0,2
1604,300,0,6.2,300,0,2
1605,300,300,8.2,300,0,2
1606,1500,300,8.6,1500,0,2
1607,300,0,6.6,300,0,2
1608,300,0,4.2,300,0,2
1609,1200,300,8.6,1200,0,2
1610,300,0,3.4,300,2400,2
1611,300,0,3.8,300,4500,2
1612,300,0,4,300,6300,2
1613,300,0,4,300,0,2
1614,300,0,4,300,0,2
1615,300,0,3.8,300,0,2
1616,300,0,3.8,300,0,2
1617,300,0,3.8,300,0,2
1618,300,0,3.8,300,0,2
1619,300,0,3.8,300,0,2
1620,1200,300,5.4,1200,0,2
1621,300,0,16.305,300,0,2
1622,900,300,44.8,900,0,2
1623,300,300,16.82,300,2400,2
1624,600,300,16.82,600,0,2
1625,300,300,13.62,300,300,2
1626,300,300,8.02,300,0,2
1627,300,600,10.42,300,0,2
1628,300,300,10.42,300,300,2
1629,300,300,6.42,300,0,2
1630,300,300,4.82,300,0,2
1631,300,300,8.02,300,900,2
1632,300,300,5.22,300,0,2
1633,300,0,3.62,300,0,2
1634,600,300,3.62,600,0,2
1635,300,0,3.62,300,0,2
1636,300,0,3.62,300,300,2
1637,300,0,3.62,300,0,2
1638,300,0,40.42,300,600,2
1639,300,300,47.62,300,0,2
1640,300,0,3.62,300,1500,2
1641,300,600,40.42,300,600,2
1642,600,300,11.22,600,300,2
1643,300,300,3.62,300,600,2
1644,600,300,8.82,600,0,2
1645,1200,300,47.62,1200,0,2
1646,900,1200,40.42,900,0,2
1647,300,600,14.82,300,0,2
1648,600,300,26.82,600,300,2
1649,300,300,21.62,300,0,2
1650,900,300,21.62,900,0,2
1651,600,300,21.62,600,0,2
1652,300,600,21.62,300,300,2
1653,600,300,19.22,600,0,2
1654,300,900,15.22,300,2400,2
1655,300,300,34.82,300,300,2
1656,600,300,24.42,600,0,2
1657,300,300,7.62,300,1500,2
1658,300,300,5.22,300,3600,2
1659,300,300,3.62,300,0,2
1660,600,300,6.82,600,300,2
1661,300,300,4.42,300,0,2
1662,300,0,3.62,300,0,2
1663,300,300,3.62,300,300,2
1664,300,300,4.42,300,0,2
1665,300,0,5.22,300,0,2
1666,300,300,3.62,300,300,2
1667,300,0,3.22,300,300,2
1668,300,0,5.22,300,900,2
1669,300,300,4.42,300,0,2
1670,300,0,4.42,300,0,2
1671,300,0,3.62,300,900,2
1672,300,300,4.82,300,7500,2
1673,300,0,3.62,300,0,2
1674,600,300,4.82,600,0,2
1675,300,0,3.62,300,0,2
1676,900,600,8.02,900,0,2
1677,300,0,21.81,300,0,2
1678,600,300,60.4,600,1500,2
1679,300,600,42.8,300,600,2
1680,600,300,18.8,600,300,2
1681,300,300,14,300,0,2
1682,300,300,14,300,0,2
1683,600,300,18.8,600,0,2
1684,600,300,10.8,600,0,2
1685,300,0,3.8,300,18000,2
1686,1200,300,6.2,1200,300,2
1687,300,300,6.4,300,0,2
1688,300,300,6.4,300,0,2
1689,300,300,6.4,300,0,2
1690,300,300,6.4,300,0,2
1691,600,900,21.38285714,600,0,2
1692,1500,300,30.4,1500,0,2
1693,900,1200,11.6,900,0,2
1694,300,0,4,300,300,2
1695,300,300,22.4,300,0,2
1696,300,300,10,300,0,2
1697,300,300,6.4,300,0,2
1698,300,300,6.4,300,300,2
1699,300,300,8.4,300,0,2
1700,600,300,6.4,600,0,2
1701,600,300,10,600,0,2
1702,300,0,4,300,0,2
1703,300,900,6.4,300,0,2
1704,900,300,18.8,900,0,2
1705,300,0,4,300,0,2
1706,900,300,22.4,900,300,2
1707,300,900,8,300,0,2
1708,300,300,6,300,300,2
1709,300,300,4.4,300,0,2
1710,300,300,4.4,300,300,2
1711,600,300,11.6,600,300,2
1712,600,300,8,600,0,2
1713,600,300,8,600,300,2
1714,600,300,6,600,0,2
1715,300,300,3.6,300,0,2
1716,300,300,4.4,300,0,2
1717,600,300,4.4,600,0,2
1718,300,300,3.6,300,0,2
1719,300,300,3.6,300,0,2
1720,300,0,3.6,300,0,2
1721,300,300,5.2,300,1500,2
1722,300,300,47.2,300,1800,2
1723,900,300,67.2,900,300,2
1724,600,600,47.2,600,0,2
1725,300,900,47.2,300,1200,2
1726,600,300,13.2,600,300,2
1727,600,300,47.2,600,300,2
1728,300,1200,47.2,300,0,2
1729,600,1500,47.2,600,600,2
1730,300,1200,47.2,300,0,2
1731,600,300,8.4,600,2100,2
1732,300,300,4.4,300,300,2
1733,300,300,4.4,300,0,2
1734,300,300,4.4,300,0,2
1735,300,0,3.6,300,0,2
1736,300,300,5.2,300,300,2
1737,300,300,5.6,300,600,2
1738,300,300,3.6,300,0,2
1739,300,0,3.6,300,0,2
1740,300,300,4.4,300,300,2
1741,600,300,9.6,600,2700,2
1742,300,0,3.6,300,300,2
1743,300,0,3.6,300,0,2
1744,600,300,4.4,600,300,2
1745,600,300,4.8,600,600,2
1746,300,300,4.8,300,300,2
1747,300,300,4.8,300,0,2
1748,300,300,4.8,300,600,2
1749,600,300,8.8,600,300,2
1750,600,0,8.8,600,0,2
1751,300,300,4.8,300,0,2
1752,300,0,4.8,300,300,2
1753,300,0,4.8,300,300,2
1754,300,300,4.8,300,0,2
1755,300,300,4.4,300,1200,2
1756,600,300,4.8,600,2700,2
1757,300,300,4.4,300,1800,2
1758,300,0,4,300,1200,2
1759,300,0,4,300,1500,2
1760,300,300,4,300,300,2
1761,300,0,3.6,300,300,2
1762,300,300,4,300,4500,2
1763,300,0,3.6,300,0,2
1764,600,300,4,600,1500,2
1765,300,0,3.6,300,0,2
1766,600,300,47.2,600,13800,2
1767,300,900,40,300,0,2
1768,600,300,40,600,600,2
1769,600,0,47.2,600,600,2
1770,300,1200,44,300,300,2
1771,1200,300,19.6,1200,1500,2
1772,900,300,51.6,900,1200,2
1773,300,600,44,300,0,2
1774,1200,600,28.8,1200,1800,2
1775,300,900,28.8,300,0,2
1776,600,300,6.4,600,900,2
1777,300,300,5.2,300,0,2
1778,300,300,5.2,300,0,2
1779,300,300,5.2,300,0,2
1780,300,300,5.2,300,0,2
1781,1200,1200,5.2,1200,0,2
1782,300,300,5.2,300,0,2
1783,300,300,6.8,300,0,2
1784,300,300,5.2,300,0,2
1785,300,300,6.8,300,0,2
1786,300,300,52,300,0,2
1787,300,0,44.4,300,0,2
1788,600,300,29.2,600,0,2
1789,300,300,44.4,300,0,2
1790,600,1200,52,600,0,2
1791,300,300,5.6,300,0,2
1792,300,300,12.4,300,0,2
1793,300,0,9.6,300,0,2
1794,300,0,4,300,1200,2
1795,300,0,4,300,600,2
1796,300,0,4,300,0,2
1797,1800,300,7.6,1800,0,2
1798,300,0,4.8,300,600,2
1799,300,300,13.6,300,600,2
1800,300,300,8.8,300,0,2
1801,300,300,6.8,300,0,2
1802,300,300,6,300,0,2
1803,300,0,4.8,300,0,2
1804,300,300,6.8,300,300,2
1805,300,300,6.8,300,600,2
1806,300,0,4.8,300,1200,2
1807,300,0,4.4,300,7200,2
1808,300,300,4.4,300,0,2
1809,300,300,6.4,300,0,2
1810,300,300,4.4,300,0,2
1811,300,0,4,300,0,2
1812,300,0,3.6,300,300,2
1813,300,300,6,300,300,2
1814,300,300,5.2,300,0,2
1815,300,300,5.2,300,0,2
1816,300,0,4.4,300,0,2
1817,300,0,4,300,300,2
1818,300,0,4.8,300,900,2
1819,300,300,4.8,300,1800,2
1820,300,0,4.8,300,3000,2
1821,300,900,46.4,300,300,2
1822,600,900,26,600,0,2
1823,600,300,39.6,600,0,2
1824,1800,300,50.8,1800,0,2
1825,300,300,23.2,300,0,2
1826,900,600,23.2,900,0,2
1827,600,300,19.6,600,0,2
1828,300,0,19.6,300,0,2
1829,300,600,50.8,300,0,2
1830,300,0,7.6,300,300,2
1831,300,0,3.6,300,0,2
1832,300,0,3.6,300,0,2
1833,300,300,5.6,300,300,2
1834,300,300,7.6,300,0,2
1835,600,300,12,600,0,2
1836,600,300,9.2,600,0,2
1837,300,300,9.2,300,0,2
1838,600,300,40,600,900,2
1839,600,300,28,600,0,2
1840,300,600,28,300,0,2
1841,300,300,15.2,300,300,2
1842,300,600,40,300,300,2
1843,600,300,33.6,600,300,2
1844,300,0,4,300,0,2
1845,300,300,5.6,300,300,2
1846,300,300,5.21,300,0,2
1847,300,300,33.2,300,0,2
1848,300,300,42.4,300,0,2
1849,600,300,30,600,0,2
1850,300,300,6,300,300,2
1851,600,300,12.8,600,0,2
1852,300,300,7.6,300,0,2
1853,600,300,9.6,600,0,2
1854,600,300,6,600,0,2
1855,300,0,4.4,300,5400,2
1856,900,600,6.8,900,0,2
1857,300,0,4,300,900,2
1858,900,300,4.8,900,2700,2
1859,600,300,5.6,600,600,2
1860,300,0,4,300,0,2
1861,300,300,6.8,300,300,2
1862,300,300,6,300,0,2
1863,600,300,9.2,600,0,2
1864,600,600,8.4,600,0,2
1865,300,0,4.4,300,0,2
1866,300,0,3.6,300,0,2
1867,300,300,4,300,300,2
1868,300,0,4,300,0,2
1869,300,300,4.4,300,3600,2
1870,300,300,4,300,900,2
1871,600,300,4,600,900,2
1872,1200,300,26.4,1200,7500,2
1873,300,900,26.4,300,0,2
1874,300,300,47.2,300,0,2
1875,600,300,33.2,600,0,2
1876,1200,4800,40,1200,300,2
1877,300,300,14.4,300,0,2
1878,600,300,10.8,600,0,2
1879,600,300,47.2,600,0,2
1880,1200,300,47.2,1200,3000,2
1881,600,300,47.2,600,2100,2
1882,300,900,47.2,300,1800,2
1883,300,600,47.2,300,300,2
1884,600,300,14.4,600,600,2
1885,600,300,8.4,600,600,2
1886,300,300,47.2,300,0,2
1887,600,300,10.8,600,0,2
1888,600,300,8.8,600,0,2
1889,300,300,5.2,300,300,2
1890,300,300,39.6,300,0,2
1891,600,300,14.8,600,0,2
1892,300,300,6.8,300,0,2
1893,300,300,5.2,300,0,2
1894,300,0,11.6,300,0,2
1895,300,0,3.6,300,4500,2
1896,300,0,4.8,300,1800,2
1897,300,300,4,300,1200,2
1898,300,0,4,300,600,2
1899,900,300,5.6,900,300,2
1900,300,300,4,300,2100,2
1901,300,300,4.4,300,8100,2
1902,300,0,4,300,600,2
1903,600,300,5.2,600,900,2
1904,300,300,4.4,300,900,2
1905,300,300,4.4,300,600,2
1906,300,300,4.8,300,0,2
1907,300,300,4,300,0,2
1908,600,300,4.8,600,0,2
1909,300,0,4.8,300,300,2
1910,300,0,4.8,300,1800,2
1911,300,900,46.21,300,4200,2
1912,600,300,25.81,600,0,2
1913,300,600,46.21,300,0,2
1914,300,300,46.21,300,600,2
1915,1800,300,46.21,1800,300,2
1916,600,300,25.01,600,0,2
1917,900,900,17.01,900,0,2
1918,300,300,10.61,300,0,2
1919,300,300,13.81,300,0,2
1920,300,300,13.81,300,0,2
1921,300,0,17.01,300,0,2
1922,300,0,10.61,300,0,2
1923,600,600,17.01,600,0,2
1924,300,600,37.81,300,0,2
1925,600,300,18.21,600,4500,2
1926,300,600,41.01,300,0,2
1927,300,600,41.01,300,300,2
1928,300,0,3.41,300,1200,2
1929,300,300,41.01,300,0,2
1930,300,600,49.01,300,0,2
1931,600,300,27.01,600,3000,2
1932,300,300,3.41,300,300,2
1933,300,300,46.21,300,0,2
1934,600,300,14.21,600,0,2
1935,600,300,25.81,600,600,2
1936,600,300,39.41,600,0,2
1937,600,600,10.61,600,0,2
1938,300,0,8.21,300,0,2
1939,300,300,4.61,300,6000,2
1940,300,0,3.41,300,300,2
1941,300,0,3.41,300,3000,2
1942,300,300,6.61,300,300,2
1943,300,0,4.21,300,600,2
1944,300,0,3.41,300,0,2
1945,300,0,4.61,300,0,2
1946,300,0,3.41,300,0,2
1947,300,300,5.01,300,0,2
1948,300,0,3.41,300,300,2
1949,300,300,3.81,300,0,2
1950,600,300,4.61,600,0,2
1951,300,300,4.6,300,2100,2
1952,300,0,3.6,300,1500,2
1953,300,300,5.6,300,0,2
1954,300,300,7.6,300,600,2
1955,900,300,5.6,900,0,2
1956,300,300,4,300,900,2
1957,300,0,4,300,600,2
1958,300,0,4,300,300,2
1959,300,300,4,300,900,2
1960,300,300,4.8,300,600,2
1961,300,300,4.8,300,600,2
1962,300,300,8.8,300,1500,2
1963,300,0,4,300,300,2
1964,300,300,4.8,300,300,2
1965,300,600,32.8,300,8700,2
1966,900,1800,39.6,900,0,2
1967,300,300,10.8,300,0,2
1968,300,300,17.6,300,0,2
1969,300,300,10.8,300,300,2
1970,600,300,39.6,600,0,2
1971,300,900,20.8,300,900,2
1972,600,300,36.4,600,3000,2
1973,600,600,7.6,600,0,2
1974,600,300,12.8,600,0,2
1975,600,300,36.4,600,0,2
1976,300,600,42.4,300,0,2
1977,600,300,42.4,600,0,2
1978,300,900,42.4,300,0,2
1979,300,300,36.4,300,300,2
1980,600,300,32.8,600,2700,2
1981,900,300,14.4,900,0,2
1982,600,300,14.4,600,0,2
1983,300,300,46.4,300,0,2
1984,600,300,32.8,600,0,2
1985,600,300,14.4,600,0,2
1986,600,300,14.4,600,0,2
1987,300,0,3.6,300,11400,2
1988,300,0,4,300,0,2
1989,300,0,4,300,0,2
1990,300,0,3.6,300,600,2
1991,300,0,4,300,0,2
1992,300,0,4.4,300,1200,2
1993,300,300,4.8,300,600,2
1994,300,0,4.4,300,300,2
1995,300,300,4,300,0,2
1996,300,0,4,300,600,2
1997,300,300,4,300,0,2
1998,300,0,4.8,300,0,2
1999,300,300,5.6,300,0,2
2000,300,300,4.8,300,0,2
2001,300,0,4,300,0,2
2002,300,300,5.2,300,0,2
2003,300,0,4,300,0,2
2004,300,0,3.6,300,0,2
2005,300,0,4.8,300,300,2
2006,300,300,4.8,300,0,2
2007,300,300,4.8,300,0,2
2008,300,300,3.81,300,0,2
2009,300,0,3.8,300,0,2
2010,600,300,4.4,600,2400,2
2011,300,0,4,300,1500,2
2012,300,0,4,300,900,2
2013,300,0,8.4,300,7800,2
2014,1200,300,42.8,1200,12900,2
2015,600,300,59.2,600,0,2
2016,900,600,50.4,900,1500,2
2017,600,300,22.4,600,1200,2
2018,600,1200,25.6,600,8400,2
2019,300,300,5.2,300,12600,2
2020,300,0,6.8,300,0,2
2021,300,0,4.4,300,1200,2
2022,600,300,8.8,600,900,2
2023,1200,1800,19.2,1200,0,2
2024,300,300,4,300,0,2
2025,300,0,4,300,0,2
2026,300,300,4,300,600,2
2027,900,900,13.6,900,600,2
2028,600,300,8.4,600,0,2
2029,600,300,4,600,0,2
2030,300,0,4,300,600,2
2031,300,300,4,300,300,2
2032,300,300,5.2,300,0,2
2033,300,0,5.2,300,3000,2
2034,300,0,5.2,300,600,2
2035,600,300,11.6,600,2700,2
2036,300,300,42.8,300,300,2
2037,600,300,15.2,600,0,2
2038,600,900,42.8,600,600,2
2039,600,900,40.8,600,0,2
2040,600,900,34,600,0,2
2041,600,900,48.8,600,0,2
2042,600,1200,40.8,600,300,2
2043,600,300,34,600,300,2
2044,600,900,34,600,300,2
2045,600,300,10.4,600,900,2
2046,600,300,46,600,0,2
2047,900,300,32.4,900,300,2
2048,600,300,32.4,600,0,2
2049,600,900,32.4,600,0,2
2050,600,900,25.6,600,0,2
2051,900,1500,32.4,900,0,2
2052,300,900,25.6,300,300,2
2053,600,300,14.8,600,0,2
2054,600,300,11.6,600,0,2
2055,600,300,8,600,0,2
2056,600,300,8,600,0,2
2057,300,300,5.6,300,0,2
2058,300,0,5.6,300,0,2
2059,600,600,8,600,900,2
2060,300,0,4.4,300,600,2
2061,300,0,4.4,300,300,2
2062,300,300,4.4,300,1200,2
2063,300,0,3.6,300,11100,2
2064,300,300,5.2,300,18900,2
2065,300,0,4.4,300,2400,2
2066,300,0,4.4,300,1200,2
2067,300,300,4.4,300,300,2
2068,300,0,5.2,300,0,2
